County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Columbia County,Washington,4078,48.3,3255,937,2022,2056,"(46.299860000000002, -117.93438)"
Cowlitz County,Washington,102410,40.200000000000003,77689,15805,50542,51868,"(46.199829999999999, -122.68455)"
Douglas County,Washington,38431,36.799999999999997,27960,5443,19198,19233,"(47.716529999999999, -119.73448999999999)"
Ferry County,Washington,7551,47.3,6053,1428,3905,3646,"(48.466560000000001, -118.53446)"
Franklin County,Washington,78163,28.4,51449,5696,40447,37716,"(46.516530000000003, -118.93445)"
Garfield County,Washington,2266,49,1812,506,1118,1148,"(46.449869999999997, -117.55101999999999)"
Grant County,Washington,89120,32.1,61895,10531,45420,43700,"(47.149859999999997, -119.48448)"
Grays Harbor County,Washington,72797,41.9,57073,11849,37357,35440,"(47.083150000000003, -123.83461)"
Island County,Washington,78506,43.2,62212,14439,38857,39649,"(48.133150000000001, -122.58459999999999)"
Jefferson County,Washington,29872,53.9,25426,7842,14798,15074,"(47.616480000000003, -123.08461)"
King County,Washington,1931249,37.1,1517747,210679,962090,969159,"(47.46649, -121.81789000000001)"
Kitsap County,Washington,251133,39.4,194637,33296,127155,123978,"(47.616480000000003, -122.66792)"
Kittitas County,Washington,40915,31.9,33431,5212,20793,20122,"(47.116509999999998, -120.68452000000001)"
Klickitat County,Washington,20318,45.3,15835,3625,10268,10050,"(45.866509999999998, -120.76784000000001)"
Lewis County,Washington,75455,41.5,57995,13076,37750,37705,"(46.583159999999999, -122.40122)"
Lincoln County,Washington,10570,47.6,8174,2197,5277,5293,"(47.549869999999999, -118.48443)"
Mason County,Washington,60699,44.4,48325,11112,31400,29299,"(47.349809999999998, -123.1846)"
Okanogan County,Washington,41120,42.9,31453,7070,20750,20370,"(48.549869999999999, -119.73451)"
Pacific County,Washington,20920,50.8,17172,5183,10488,10432,"(46.566490000000002, -123.71794)"
Pend Oreille County,Washington,13001,47.8,10193,2485,6593,6408,"(48.533239999999999, -117.28439)"
Pierce County,Washington,795225,35.9,597098,87785,392934,402291,"(47.033160000000002, -122.11789)"
San Juan County,Washington,15769,52.7,13276,3657,7665,8104,"(48.566490000000002, -122.96796000000001)"
Skagit County,Washington,116901,40.1,89164,18876,57980,58921,"(48.466500000000003, -121.78458000000001)"
Skamania County,Washington,11066,44,8608,1596,5565,5501,"(46.033169999999998, -121.9012)"
Snohomish County,Washington,713335,37.1,539168,73544,356958,356377,"(48.04983, -121.7179)"
Spokane County,Washington,471221,36.799999999999997,361719,60969,232696,238525,"(47.61656, -117.36771)"
Stevens County,Washington,43531,45,33036,7516,21782,21749,"(48.433230000000002, -117.83441999999999)"
Thurston County,Washington,252264,38.5,194142,32764,122952,129312,"(46.916490000000003, -122.81791)"
Wahkiakum County,Washington,3978,52.3,3244,1015,1999,1979,"(46.283160000000002, -123.43458)"
Walla Walla County,Washington,58781,36.700000000000003,45541,8778,29835,28946,"(46.283189999999998, -118.48442)"
Whatcom County,Washington,201140,36.6,158935,26640,99635,101505,"(48.916510000000002, -121.78458999999999)"
Whitman County,Washington,44776,24.4,38035,4257,22806,21970,"(46.916550000000001, -117.48436)"
Yakima County,Washington,243231,32.200000000000003,169193,28122,121676,121555,"(46.46651, -120.66785)"
Barbour County,West Virginia,16589,41.5,12987,2761,8190,8399,"(39.133429999999997, -80.033140000000003)"
Berkeley County,West Virginia,104169,37.6,77953,11858,51703,52466,"(39.450099999999999, -78.033060000000006)"
Boone County,West Virginia,24629,40.700000000000003,19004,3489,12239,12390,"(38.016770000000001, -81.699839999999995)"
Braxton County,West Virginia,14523,43.8,11514,2546,7316,7207,"(38.716769999999997, -80.699820000000003)"
Brooke County,West Virginia,24069,44.8,19492,4602,11672,12397,"(40.2834, -80.566460000000006)"
Cabell County,West Virginia,96319,38.700000000000003,77411,15364,46972,49347,"(38.433419999999998, -82.249870000000001)"
Calhoun County,West Virginia,7627,45.1,6113,1385,3821,3806,"(38.833419999999997, -81.116500000000002)"
Clay County,West Virginia,9386,41.5,7167,1472,4664,4722,"(38.483429999999998, -81.066500000000005)"
Doddridge County,West Virginia,8202,42.4,6526,1329,4391,3811,"(39.266750000000002, -80.699820000000003)"
Fayette County,West Virginia,46039,43,36583,7802,23085,22954,"(38.050109999999997, -81.099819999999994)"
Gilmer County,West Virginia,8693,38,7436,1193,5256,3437,"(38.933419999999998, -80.849829999999997)"
Grant County,West Virginia,11937,44,9380,2189,5928,6009,"(39.116770000000002, -79.199759999999998)"
Greenbrier County,West Virginia,35480,45,28364,6838,17296,18184,"(37.950119999999998, -80.416470000000004)"
Hampshire County,West Virginia,23964,42.6,18578,3898,12136,11828,"(39.33343, -78.599729999999994)"
Hancock County,West Virginia,30676,45.3,24515,5754,14841,15835,"(40.500619999999998, -80.566460000000006)"
Hardy County,West Virginia,14025,42.8,11016,2329,7078,6947,"(39.016779999999997, -78.816410000000005)"
Harrison County,West Virginia,69099,41.8,53927,11408,33648,35451,"(39.28342, -80.383150000000001)"
Jackson County,West Virginia,29211,42.2,22622,5165,14425,14786,"(38.833419999999997, -81.683179999999993)"
Jefferson County,West Virginia,53498,38.9,40794,6314,26444,27054,"(39.3001, -77.849720000000005)"
Kanawha County,West Virginia,193063,42.4,153329,32315,92725,100338,"(38.33343, -81.566509999999994)"
Lewis County,West Virginia,16372,43.4,12975,2928,8068,8304,"(38.966760000000001, -80.516480000000001)"
Lincoln County,West Virginia,21720,41.2,16790,3285,10803,10917,"(38.166759999999996, -82.083190000000002)"
Logan County,West Virginia,36743,42.4,29249,5575,18098,18645,"(37.833440000000003, -81.933179999999993)"
McDowell County,West Virginia,22113,43.8,17699,3658,10937,11176,"(37.366779999999999, -81.649829999999994)"
Marion County,West Virginia,56418,41,45213,9541,27546,28872,"(39.516750000000002, -80.249799999999993)"
Marshall County,West Virginia,33107,44.3,26215,5814,16154,16953,"(39.86674, -80.649799999999999)"
Mason County,West Virginia,27324,42.4,21392,4654,13131,14193,"(38.800080000000001, -82.000140000000002)"
Mercer County,West Virginia,62264,42.5,49472,11213,29754,32510,"(37.400120000000001, -81.116479999999996)"
Mineral County,West Virginia,28212,42.3,22341,4893,13986,14226,"(39.400100000000002, -78.949749999999995)"
Mingo County,West Virginia,26839,40.9,20923,3623,13160,13679,"(37.700099999999999, -82.149860000000004)"
Monongalia County,West Virginia,96189,29.1,80937,9826,49600,46589,"(39.650080000000003, -80.033119999999997)"
Monroe County,West Virginia,13502,45,10664,2651,6680,6822,"(37.566789999999997, -80.549790000000002)"
Morgan County,West Virginia,17541,45,13941,3216,8749,8792,"(39.566760000000002, -78.250010000000003)"
Nicholas County,West Virginia,26233,43.3,20683,4477,12914,13319,"(38.300109999999997, -80.833150000000003)"
Ohio County,West Virginia,44443,43.5,35978,8213,21165,23278,"(40.100070000000002, -80.616460000000004)"
Pendleton County,West Virginia,7695,47.3,6232,1681,3897,3798,"(38.683450000000001, -79.349770000000007)"
Pleasants County,West Virginia,7605,42.4,6054,1228,4079,3526,"(39.36674, -81.149829999999994)"
Pocahontas County,West Virginia,8719,47.1,7159,1684,4473,4246,"(38.316789999999997, -80.033119999999997)"
Preston County,West Virginia,33520,42,26968,5257,17298,16222,"(39.466760000000001, -79.666439999999994)"
Putnam County,West Virginia,55486,40.9,42362,7977,27249,28237,"(38.516759999999998, -81.883189999999999)"
Raleigh County,West Virginia,78859,41.1,62479,12661,39387,39472,"(37.750109999999999, -81.24982)"
Randolph County,West Virginia,29405,43.4,23699,5246,15148,14257,"(38.766779999999997, -79.833119999999994)"
Ritchie County,West Virginia,10449,44.3,8241,1797,5222,5227,"(39.16675, -81.083169999999996)"
Roane County,West Virginia,14926,43.5,11689,2566,7384,7542,"(38.733420000000002, -81.34984)"
Summers County,West Virginia,13927,45.7,11404,2682,6250,7677,"(37.650120000000001, -80.866470000000007)"
Taylor County,West Virginia,16895,42.3,13381,2744,8549,8346,"(39.350090000000002, -80.049800000000005)"
Tucker County,West Virginia,7141,46.3,5771,1501,3579,3562,"(39.100110000000001, -79.566450000000003)"
Tyler County,West Virginia,9208,45.2,7283,1700,4513,4695,"(39.45008, -80.866500000000002)"
Upshur County,West Virginia,24254,40.9,19250,4044,11944,12310,"(38.883429999999997, -80.250360000000001)"
Wayne County,West Virginia,42481,41.3,32959,7014,20744,21737,"(38.150089999999999, -82.449870000000004)"
Webster County,West Virginia,9154,44.1,7180,1604,4531,4623,"(38.516770000000001, -80.416470000000004)"
Wetzel County,West Virginia,16583,44.8,13119,3239,8139,8444,"(39.583410000000001, -80.666480000000007)"
Wirt County,West Virginia,5717,44.4,4516,894,2868,2849,"(39.033410000000003, -81.34984)"
Wood County,West Virginia,86956,42.2,67965,14718,41947,45009,"(39.20008, -81.501230000000007)"
Wyoming County,West Virginia,23796,42.6,18682,3589,11810,11986,"(37.616779999999999, -81.54983)"
Adams County,Wisconsin,20875,49.2,17454,4899,11221,9654,"(43.933309999999999, -89.76679)"
Ashland County,Wisconsin,16157,40.299999999999997,12413,2567,8082,8075,"(46.399949999999997, -90.833519999999993)"
Barron County,Wisconsin,45870,43.1,35720,8348,22814,23056,"(45.416620000000002, -91.850170000000006)"
Bayfield County,Wisconsin,15014,49.4,12161,3112,7716,7298,"(46.549939999999999, -91.150189999999995)"
Brown County,Wisconsin,248007,36.200000000000003,186184,28789,122658,125349,"(44.466659999999997, -87.966769999999997)"
Buffalo County,Wisconsin,13587,44.1,10566,2459,6859,6728,"(44.366630000000001, -91.78349)"
Burnett County,Wisconsin,15457,49.1,12375,3569,7806,7651,"(45.84995, -92.383529999999993)"
Calumet County,Wisconsin,48971,38.4,35733,5625,24543,24428,"(44.083320000000001, -88.200100000000006)"
Chippewa County,Wisconsin,62415,40.1,47706,8935,32404,30011,"(45.066630000000004, -91.266819999999996)"
Clark County,Wisconsin,34690,37.200000000000003,24599,5413,17577,17113,"(44.7333, -90.633480000000006)"
Columbia County,Wisconsin,56833,41,43566,8294,28935,27898,"(43.466650000000001, -89.333449999999999)"
Crawford County,Wisconsin,16644,44.7,12920,3062,8575,8069,"(43.250540000000001, -90.916790000000006)"
Dane County,Wisconsin,488073,34.4,381989,50144,241411,246662,"(43.066659999999999, -89.433449999999993)"
Dodge County,Wisconsin,88759,40.700000000000003,69180,13251,46679,42080,"(43.41666, -88.700100000000006)"
Door County,Wisconsin,27785,49.4,22709,6245,13679,14106,"(44.91666, -87.3001)"
Douglas County,Wisconsin,44159,39.799999999999997,34694,6361,22087,22072,"(46.43327, -91.900189999999995)"
Dunn County,Wisconsin,43857,33.5,34798,5323,22133,21724,"(44.949959999999997, -91.883510000000001)"
Eau Claire County,Wisconsin,98736,33.4,77864,12435,48351,50385,"(44.733289999999997, -91.300160000000005)"
Florence County,Wisconsin,4423,49,3649,931,2262,2161,"(45.849960000000003, -88.366799999999998)"
Fond du Lac County,Wisconsin,101633,40.200000000000003,78589,15225,49926,51707,"(43.750540000000001, -88.466769999999997)"
Forest County,Wisconsin,9304,44.1,7261,1888,4724,4580,"(45.616630000000001, -88.783450000000002)"
Grant County,Wisconsin,51208,36.4,40322,7974,26636,24572,"(42.866660000000003, -90.700130000000001)"
Green County,Wisconsin,36842,41.1,27889,5497,18241,18601,"(42.83334, -89.600120000000004)"
Green Lake County,Wisconsin,19051,44.5,14663,3652,9509,9542,"(43.799979999999998, -89.033450000000002)"
Iowa County,Wisconsin,23687,41.1,17798,3269,11878,11809,"(43.000549999999997, -90.150120000000001)"
Iron County,Wisconsin,5916,51,4935,1502,2959,2957,"(46.250500000000002, -90.233509999999995)"
Jackson County,Wisconsin,20449,41.4,15818,3303,10874,9575,"(44.333289999999998, -90.866810000000001)"
Jefferson County,Wisconsin,83686,38.200000000000003,63829,11042,41638,42048,"(43.033340000000003, -88.766769999999994)"
Juneau County,Wisconsin,26664,43.6,20991,4677,14029,12635,"(43.916640000000001, -90.133459999999999)"
Kenosha County,Wisconsin,166426,36.299999999999997,123597,18679,82444,83982,"(42.566690000000001, -88.050079999999994)"
Kewaunee County,Wisconsin,20574,42.2,15725,3393,10460,10114,"(44.516660000000002, -87.633420000000001)"
La Crosse County,Wisconsin,114638,35.200000000000003,90176,15201,55961,58677,"(43.750520000000002, -91.100129999999993)"
Lafayette County,Wisconsin,16836,40.4,12487,2601,8582,8254,"(42.666670000000003, -90.133459999999999)"
Langlade County,Wisconsin,19977,45.7,15762,3986,10032,9945,"(45.250520000000002, -89.050110000000004)"
Lincoln County,Wisconsin,28743,44.7,22441,5269,14412,14331,"(45.316630000000004, -89.750690000000006)"
Manitowoc County,Wisconsin,81442,43,63232,13714,40489,40953,"(44.066659999999999, -87.800089999999997)"
Marathon County,Wisconsin,134063,39.4,101194,18988,67308,66755,"(44.899970000000003, -89.76679)"
Marinette County,Wisconsin,41749,45.7,33182,8254,20758,20991,"(45.366639999999997, -88.066779999999994)"
Marquette County,Wisconsin,15404,47.4,12319,3246,7808,7596,"(43.81664, -89.400120000000001)"
Menominee County,Wisconsin,4232,31.4,2853,482,2098,2134,"(45.000540000000001, -88.66677)"
Milwaukee County,Wisconsin,947735,33.6,711358,109133,457717,490018,"(43.000570000000003, -87.966750000000005)"
Monroe County,Wisconsin,44673,39.1,33003,6223,22648,22025,"(43.933300000000003, -90.616799999999998)"
Oconto County,Wisconsin,37660,43.7,29228,6022,19194,18466,"(45.000540000000001, -88.183430000000001)"
Oneida County,Wisconsin,35998,48,29359,7800,17993,18005,"(45.666620000000002, -89.500690000000006)"
Outagamie County,Wisconsin,176695,37.1,132271,20834,88130,88565,"(44.416649999999997, -88.466769999999997)"
Ozaukee County,Wisconsin,86395,42.9,66023,13208,42340,44055,"(43.383339999999997, -87.950090000000003)"
Pepin County,Wisconsin,7469,44.1,5765,1337,3780,3689,"(44.599969999999999, -92.050169999999994)"
Pierce County,Wisconsin,41019,34.5,31860,4283,20420,20599,"(44.7333, -92.433520000000001)"
Polk County,Wisconsin,44205,42.5,33705,7064,22177,22028,"(45.449959999999997, -92.41686)"
Portage County,Wisconsin,70019,35.799999999999997,55472,8955,34984,35035,"(44.466639999999998, -89.50067)"
Price County,Wisconsin,14159,48.3,11460,2968,7180,6979,"(45.68329, -90.350149999999999)"
Racine County,Wisconsin,195408,39,146898,25739,96771,98637,"(42.749459999999999, -88.075090000000003)"
Richland County,Wisconsin,18021,43,13821,3245,9042,8979,"(43.383310000000002, -90.433459999999997)"
Rock County,Wisconsin,160331,38,120148,21759,78815,81516,"(42.666679999999999, -89.066779999999994)"
Rusk County,Wisconsin,14755,45.8,11440,2964,7371,7384,"(45.466630000000002, -91.166820000000001)"
St. Croix County,Wisconsin,84345,36.700000000000003,61462,8468,42218,42127,"(43.733330000000002, -87.933430000000001)"
Sauk County,Wisconsin,61976,40,47209,9288,30848,31128,"(43.449979999999996, -89.950130000000001)"
Sawyer County,Wisconsin,16557,47.2,13103,3429,8393,8164,"(45.866619999999998, -91.233500000000006)"
Shawano County,Wisconsin,41949,43,32387,7680,20921,21028,"(44.799979999999998, -88.766769999999994)"
Sheboygan County,Wisconsin,115507,40.299999999999997,87925,16821,58010,57497,"(43.733330000000002, -87.933430000000001)"
Taylor County,Wisconsin,20689,41.8,15600,3334,10559,10130,"(45.216639999999998, -90.516810000000007)"
Trempealeau County,Wisconsin,28816,40.799999999999997,21831,4567,14638,14178,"(44.316630000000004, -91.350160000000002)"
Vernon County,Wisconsin,29773,41.5,21895,4962,14854,14919,"(43.583309999999997, -90.850129999999993)"
Vilas County,Wisconsin,21430,50.7,17621,5556,10861,10569,"(46.06662, -89.466809999999995)"
Walworth County,Wisconsin,102228,38.1,78228,13757,51237,50991,"(42.666679999999999, -88.533429999999996)"
Washburn County,Wisconsin,15911,47.7,12679,3380,7924,7987,"(45.899949999999997, -91.783510000000007)"
Washington County,Wisconsin,131887,40.9,99510,17803,65393,66494,"(43.366669999999999, -88.233429999999998)"
Waukesha County,Wisconsin,389891,42,296081,55688,191355,198536,"(43.033340000000003, -88.300089999999997)"
Waupaca County,Wisconsin,52410,43.5,40540,9462,26447,25963,"(44.466650000000001, -88.983440000000002)"
Waushara County,Wisconsin,24496,46.2,19662,4883,12893,11603,"(44.116639999999997, -89.25067)"
Winnebago County,Wisconsin,166994,37.9,130862,22336,83952,83042,"(44.066650000000003, -88.650109999999998)"
Wood County,Wisconsin,74749,42.6,57745,12762,36777,37972,"(44.449959999999997, -90.050129999999996)"
Albany County,Wyoming,36299,26.8,30262,3166,18897,17402,"(41.666640000000001, -105.70055000000001)"
Big Horn County,Wyoming,11668,41.8,8655,2108,5882,5786,"(44.533290000000001, -108.08399)"
Campbell County,Wyoming,46133,31.9,33151,2616,24258,21875,"(44.250540000000001, -105.55056)"
Carbon County,Wyoming,15885,38.9,12134,2044,8553,7332,"(41.666629999999998, -106.83393)"
Converse County,Wyoming,13833,39,10321,1776,7017,6816,"(42.966630000000002, -105.53388)"
Crook County,Wyoming,7083,43.6,5394,1150,3648,3435,"(44.566650000000003, -104.56717999999999)"
Fremont County,Wyoming,40123,38.5,29911,5805,20030,20093,"(42.916629999999998, -108.66734)"
Goshen County,Wyoming,13249,43.6,10548,2500,6906,6343,"(42.083300000000001, -104.35051)"
Hot Springs County,Wyoming,4812,48.6,3848,1088,2377,2435,"(43.699959999999997, -108.46733)"
Johnson County,Wyoming,8569,44.8,6673,1588,4365,4204,"(44.03331, -106.56726)"
Laramie County,Wyoming,91738,37,69337,11505,45875,45863,"(41.349980000000002, -104.66719000000001)"
Lincoln County,Wyoming,18106,37.4,13002,2241,9302,8804,"(42.166600000000003, -110.6674)"
Natrona County,Wyoming,75450,36.799999999999997,57430,9392,37982,37468,"(42.966630000000002, -106.78394)"
